stratum,LongStratum,PlannedGrids,CompletedGrids,percent.completed,Year,Partner,State,bcr,area
CO-BCR16-CR,CO-BCR16-CR: Bureau of Land Management - Colorado River Valley,7,7,1,2024,BCR,CO,16,1982
CO-BCR16-GJ,CO-BCR16-GJ: Bureau of Land Management - Grand Junction,10,10,1,2024,BCR,CO,16,5019
CO-BCR16-GU,CO-BCR16-GU: Bureau of Land Management - Gunnison,7,7,1,2024,BCR,CO,16,2451
CO-BCR16-RG,CO-BCR16-RG: Bureau of Land Management - Royal Gorge,7,7,1,2024,BCR,CO,16,2296
CO-BCR16-SL,CO-BCR16-SL: Bureau of Land Management - San Luis Valley,7,7,1,2024,BCR,CO,16,1865
CO-BCR16-TR,CO-BCR16-TR: Bureau of Land Management - Tres Rios,7,7,1,2024,BCR,CO,16,2463
CO-BCR16-UN,CO-BCR16-UN: Bureau of Land Management - Uncompahgre,7,7,1,2024,BCR,CO,16,3379
ID-BCR10-CA,ID-BCR10-CA: Bureau of Land Management - Coeur d'Alene Field Office,2,2,1,2024,IBO,ID,10,287
ID-BCR9-BR,ID-BCR9-BR: Bureau of Land Management - Bruneau Field Office,7,7,1,2024,IBO,ID,9,5953
ID-BCR9-BU,ID-BCR9-BU: Bureau of Land Management - Burley Field Office,3,3,1,2024,IBO,ID,9,3334
ID-BCR9-JA,ID-BCR9-JA: Bureau of Land Management - Jarbidge Field Office,6,6,1,2024,IBO,ID,9,5386
ID-BCR9-OW,ID-BCR9-OW: Bureau of Land Management - Owyhee Field Office,6,6,1,2024,IBO,ID,9,5066
MT-BCR17-BL,MT-BCR17-BL: Bureau of Land Management,10,9,0.9,2024,IBO,MT,17,25013
ND-BCR17-BM,ND-BCR17-BM: Bureau of Land Management,5,5,1,2024,BCR,ND,17,165
NV-BCR9-BM,NV-BCR9-BM: Bureau of Land Management - Battle Mountain District,15,13,0.866666667,2024,MTM,NV,9,35811
NV-BCR9-CC,NV-BCR9-CC: Bureau of Land Management - Carson City District,8,8,1,2024,MTM,NV,9,19269
NV-BCR9-EK,"NV-BCR9-EK: Bureau of Land Management - Elko, Twin Falls, and Boise Districts",14,7,0.5,2024,MTM,NV,9,30072
NV-BCR9-EY,NV-BCR9-EY: Bureau of Land Management - Ely District,15,12,0.8,2024,MTM,NV,9,45375
NV-BCR9-NC,NV-BCR9-NC: Bureau of Land Management - Northern California District,4,4,1,2024,MTM,NV,9,5566
